epoch,accuracy,dice_coef,jaccard_coef,loss,val_accuracy,val_dice_coef,val_jaccard_coef,val_loss
0,0.6862224,0.49185193,0.3345346,1.655456837330755,0.69465571641922,0.5981079339981079,0.42746224999427795,1.5909268856048584
1,0.6899944,0.55963343,0.38961834,1.4133136038112406,0.6956604719161987,0.5549993515014648,0.38486334681510925,1.3928272724151611
2,0.68987864,0.5586202,0.38867477,1.3827768794148794,0.6947847604751587,0.499386727809906,0.3332161605358124,1.4903544187545776
3,0.6898467,0.5573667,0.38737413,1.329954527226947,0.6945224404335022,0.5694040060043335,0.3988478183746338,1.2379417419433594
4,0.69004804,0.56158054,0.39118156,1.2720571659706734,0.6951298713684082,0.5946004390716553,0.42375677824020386,1.058825969696045
5,0.68986124,0.56837904,0.39791536,1.2208477485677827,0.6953622102737427,0.5974953174591064,0.4265950620174408,1.2829859256744385
6,0.6899409,0.5766172,0.4060311,1.1658593956609908,0.6964735984802246,0.5904103517532349,0.41972607374191284,0.9604630470275879
7,0.6899249,0.5836851,0.41312814,1.1150378548249567,0.6946409940719604,0.5739184617996216,0.4029645025730133,1.0472530126571655
8,0.6898615,0.59135425,0.4206955,1.072185306349902,0.6956815123558044,0.5425015091896057,0.37256067991256714,0.9743890762329102
9,0.689962,0.59788924,0.42731148,1.0344821545650098,0.6949234008789062,0.6062846779823303,0.43549150228500366,1.0862302780151367
10,0.6898077,0.60598,0.43549076,0.9938505113271296,0.6954476237297058,0.5841502547264099,0.41306790709495544,1.1312278509140015
11,0.6900149,0.61398786,0.4437953,0.9586885468965667,0.695885181427002,0.6071967482566833,0.43659719824790955,1.0797597169876099
12,0.6898101,0.619767,0.44990617,0.9344419987840207,0.6956918239593506,0.6046620607376099,0.43390804529190063,1.1913037300109863
13,0.68993413,0.6270584,0.45758206,0.9011614772260043,0.694896399974823,0.6468132138252258,0.4788375496864319,1.019821047782898
14,0.69006026,0.6339863,0.4649462,0.8731138956634653,0.6947702169418335,0.6021803617477417,0.4312995970249176,1.2372297048568726
15,0.68986624,0.64158326,0.4731304,0.845384502733076,0.6952641606330872,0.589268684387207,0.41825810074806213,1.0345758199691772
16,0.68981653,0.64795554,0.48002842,0.8181105156495472,0.6961113214492798,0.643229603767395,0.474869966506958,0.8809051513671875
17,0.6898908,0.6542693,0.48705432,0.7945805549328685,0.6953150629997253,0.6662193536758423,0.5003544688224792,0.9072760343551636
18,0.6898507,0.66308886,0.49663743,0.761649963310954,0.6939895749092102,0.6467146277427673,0.47856998443603516,0.7587838768959045
19,0.6898059,0.67173094,0.5065809,0.7309484049055441,0.6946147680282593,0.6568110585212708,0.489541620016098,0.8377203345298767
20,0.68981755,0.6795068,0.515456,0.705347371848268,0.6956499218940735,0.6710501313209534,0.5057665109634399,0.8552075028419495
21,0.7070613,0.6897441,0.527118,0.6730126220851917,0.7162989377975464,0.6651623845100403,0.4991227686405182,0.8091301321983337
22,0.7460757,0.70545506,0.54561156,0.6243118364775796,0.7191783785820007,0.6593688726425171,0.4926437437534332,1.2562376260757446
23,0.7624289,0.7172242,0.55966556,0.5808984547926694,0.7240708470344543,0.6616307497024536,0.49500003457069397,0.9550869464874268
24,0.7881558,0.72944313,0.574752,0.5457521050948768,0.7515174150466919,0.6644644737243652,0.49825167655944824,0.8206415772438049
25,0.83932024,0.7548351,0.6069112,0.48950078029011623,0.753358006477356,0.6764772534370422,0.5118986368179321,0.997496485710144
26,0.8523915,0.77296,0.63056517,0.4463093316672182,0.7487357258796692,0.6881663203239441,0.5255714654922485,0.6804875731468201
27,0.8676426,0.7916625,0.6557337,0.39883590293750715,0.7464684844017029,0.6895090937614441,0.5268749594688416,0.9137519001960754
28,0.87894636,0.806027,0.67557514,0.3655144146092108,0.7494733929634094,0.6943219900131226,0.5324500203132629,1.1016926765441895
29,0.88812536,0.8178144,0.6922732,0.33824404707997674,0.7450642585754395,0.6893279552459717,0.5268152952194214,1.3058606386184692
30,0.8993135,0.8313255,0.71175885,0.30419938621415554,0.7563380599021912,0.7184739112854004,0.5613137483596802,1.2743761539459229
